date,equity
2023-09-24,79594.1068584838
2023-09-25,79594.1068584838
2023-09-26,79594.1068584838
2023-09-27,79594.1068584838
2023-09-28,79594.1068584838
2023-09-29,79594.1068584838
2023-09-30,79594.1068584838
2023-10-01,79594.1068584838
2023-10-02,79594.1068584838
2023-10-03,79594.1068584838
2023-10-04,79594.1068584838
2023-10-05,79594.1068584838
2023-10-06,79594.1068584838
2023-10-07,79594.1068584838
2023-10-08,79594.1068584838
2023-10-09,79594.1068584838
2023-10-10,79594.1068584838
2023-10-11,79594.1068584838
2023-10-12,79594.1068584838
2023-10-13,79594.1068584838
2023-10-14,79594.1068584838
2023-10-15,79594.1068584838
2023-10-16,79594.1068584838
2023-10-17,79594.1068584838
2023-10-18,79594.1068584838
2023-10-19,79594.1068584838
2023-10-20,79594.1068584838
2023-10-21,79594.1068584838
2023-10-22,79594.1068584838
2023-10-23,79594.1068584838
2023-10-24,79594.1068584838
2023-10-25,79594.1068584838
2023-10-26,79594.1068584838
2023-10-27,79594.1068584838
2023-10-28,79594.1068584838
2023-10-29,79594.1068584838
2023-10-30,79594.1068584838
2023-10-31,79594.1068584838
2023-11-01,79594.1068584838
2023-11-02,79594.1068584838
2023-11-03,79594.1068584838
2023-11-04,79594.1068584838
2023-11-05,79594.1068584838
2023-11-06,79594.1068584838
2023-11-07,79594.1068584838
2023-11-08,79594.1068584838
2023-11-09,79594.1068584838
2023-11-10,79594.1068584838
2023-11-11,79594.1068584838
2023-11-12,79594.1068584838
2023-11-13,79594.1068584838
2023-11-14,79594.1068584838
2023-11-15,79594.1068584838
2023-11-16,79594.1068584838
2023-11-17,79594.1068584838
2023-11-18,79594.1068584838
2023-11-19,79594.1068584838
2023-11-20,79594.1068584838
2023-11-21,79594.1068584838
2023-11-22,79594.1068584838
2023-11-23,79594.1068584838
2023-11-24,79594.1068584838
2023-11-25,79594.1068584838
2023-11-26,79594.1068584838
2023-11-27,79594.1068584838
2023-11-28,79594.1068584838
2023-11-29,79594.1068584838
2023-11-30,79594.1068584838
2023-12-01,79594.1068584838
2023-12-02,79594.1068584838
2023-12-03,79594.1068584838
2023-12-04,79594.1068584838
2023-12-05,79594.1068584838
2023-12-06,79594.1068584838
2023-12-07,79594.1068584838
2023-12-08,79594.1068584838
2023-12-09,79594.1068584838
2023-12-10,79594.1068584838
2023-12-11,79594.1068584838
2023-12-12,79594.1068584838
2023-12-13,79594.1068584838
2023-12-14,79594.1068584838
2023-12-15,79594.1068584838
2023-12-16,79594.1068584838
2023-12-17,79594.1068584838
2023-12-18,79594.1068584838
2023-12-19,79594.1068584838
2023-12-20,79594.1068584838
2023-12-21,79594.1068584838
2023-12-22,79594.1068584838
2023-12-23,79594.1068584838
2023-12-24,79594.1068584838
2023-12-25,79594.1068584838
2023-12-26,79594.1068584838
2023-12-27,79594.1068584838
2023-12-28,79594.1068584838
2023-12-29,79594.1068584838
2023-12-30,79594.1068584838
2023-12-31,79594.1068584838
2024-01-01,79594.1068584838
2024-01-02,79594.1068584838
2024-01-03,79594.1068584838
2024-01-04,79594.1068584838
2024-01-05,79594.1068584838
2024-01-06,79594.1068584838
2024-01-07,79594.1068584838
2024-01-08,79594.1068584838
2024-01-09,79594.1068584838
2024-01-10,79594.1068584838
2024-01-11,79594.1068584838
2024-01-12,79594.1068584838
2024-01-13,79594.1068584838
2024-01-14,79594.1068584838
2024-01-15,79594.1068584838
2024-01-16,79594.1068584838
2024-01-17,79594.1068584838
2024-01-18,79594.1068584838
2024-01-19,79594.1068584838
2024-01-20,79594.1068584838
2024-01-21,79594.1068584838
2024-01-22,79594.1068584838
2024-01-23,79594.1068584838
2024-01-24,79594.1068584838
2024-01-25,79594.1068584838
2024-01-26,79594.1068584838
2024-01-27,79594.1068584838
2024-01-28,79594.1068584838
2024-01-29,79594.1068584838
2024-01-30,79594.1068584838
2024-01-31,79594.1068584838
2024-02-01,79594.1068584838
2024-02-02,79594.1068584838
2024-02-03,79594.1068584838
2024-02-04,79594.1068584838
2024-02-05,79594.1068584838
2024-02-06,79594.1068584838
2024-02-07,79594.1068584838
2024-02-08,79594.1068584838
2024-02-09,79594.1068584838
2024-02-10,79594.1068584838
2024-02-11,79594.1068584838
2024-02-12,79594.1068584838
2024-02-13,79594.1068584838
2024-02-14,79594.1068584838
2024-02-15,79594.1068584838
2024-02-16,79594.1068584838
2024-02-17,79594.1068584838
2024-02-18,79594.1068584838
2024-02-19,79594.1068584838
2024-02-20,79594.1068584838
2024-02-21,79594.1068584838
2024-02-22,79594.1068584838
2024-02-23,79594.1068584838
2024-02-24,79594.1068584838
2024-02-25,79594.1068584838
2024-02-26,79594.1068584838
2024-02-27,79594.1068584838
2024-02-28,79594.1068584838
2024-02-29,79594.1068584838
2024-03-01,79594.1068584838
2024-03-02,79594.1068584838
2024-03-03,79594.1068584838
2024-03-04,79594.1068584838
2024-03-05,79594.1068584838
2024-03-06,79594.1068584838
2024-03-07,79594.1068584838
2024-03-08,79594.1068584838
2024-03-09,79594.1068584838
2024-03-10,79594.1068584838
2024-03-11,79594.1068584838
2024-03-12,79594.1068584838
2024-03-13,79594.1068584838
2024-03-14,79594.1068584838
2024-03-15,79594.1068584838
2024-03-16,79594.1068584838
2024-03-17,79594.1068584838
2024-03-18,79594.1068584838
2024-03-19,79594.1068584838
2024-03-20,79594.1068584838
2024-03-21,79594.1068584838
2024-03-22,79594.1068584838
2024-03-23,79594.1068584838
2024-03-24,79594.1068584838
2024-03-25,79594.1068584838
2024-03-26,79594.1068584838
2024-03-27,79594.1068584838
2024-03-28,79594.1068584838
2024-03-29,79594.1068584838
2024-03-30,79594.1068584838
2024-03-31,79594.1068584838
2024-04-01,79594.1068584838
2024-04-02,79594.1068584838
2024-04-03,79594.1068584838
2024-04-04,79594.1068584838
2024-04-05,79594.1068584838
2024-04-06,79594.1068584838
2024-04-07,79594.1068584838
2024-04-08,79594.1068584838
2024-04-09,79594.1068584838
2024-04-10,79594.1068584838
2024-04-11,79594.1068584838
2024-04-12,79594.1068584838
2024-04-13,79594.1068584838
2024-04-14,79594.1068584838
2024-04-15,79594.1068584838
2024-04-16,79594.1068584838
2024-04-17,79594.1068584838
2024-04-18,79594.1068584838
2024-04-19,79594.1068584838
2024-04-20,79594.1068584838
2024-04-21,79594.1068584838
2024-04-22,79594.1068584838
2024-04-23,79594.1068584838
2024-04-24,79594.1068584838
2024-04-25,79594.1068584838
2024-04-26,79594.1068584838
2024-04-27,79594.1068584838
2024-04-28,79594.1068584838
2024-04-29,79594.1068584838
2024-04-30,79594.1068584838
2024-05-01,79594.1068584838
2024-05-02,79594.1068584838
2024-05-03,79594.1068584838
2024-05-04,79594.1068584838
2024-05-05,79594.1068584838
2024-05-06,79594.1068584838
2024-05-07,79594.1068584838
2024-05-08,79594.1068584838
2024-05-09,79594.1068584838
2024-05-10,79594.1068584838
2024-05-11,79594.1068584838
2024-05-12,79594.1068584838
2024-05-13,79594.1068584838
2024-05-14,79594.1068584838
2024-05-15,79594.1068584838
2024-05-16,79594.1068584838
2024-05-17,79594.1068584838
2024-05-18,79594.1068584838
2024-05-19,79594.1068584838
2024-05-20,79594.1068584838
2024-05-21,79594.1068584838
2024-05-22,79594.1068584838
2024-05-23,79594.1068584838
2024-05-24,79594.1068584838
2024-05-25,79594.1068584838
2024-05-26,79594.1068584838
2024-05-27,79594.1068584838
2024-05-28,79594.1068584838
2024-05-29,79594.1068584838
2024-05-30,79594.1068584838
2024-05-31,79594.1068584838
2024-06-01,79594.1068584838
2024-06-02,79594.1068584838
2024-06-03,79594.1068584838
2024-06-04,79594.1068584838
2024-06-05,79594.1068584838
2024-06-06,79594.1068584838
2024-06-07,79594.1068584838
2024-06-08,79594.1068584838
2024-06-09,79594.1068584838
2024-06-10,79594.1068584838
2024-06-11,79594.1068584838
2024-06-12,79594.1068584838
2024-06-13,79594.1068584838
2024-06-14,79594.1068584838
2024-06-15,79594.1068584838
2024-06-16,79594.1068584838
2024-06-17,79594.1068584838
2024-06-18,79594.1068584838
2024-06-19,79594.1068584838
2024-06-20,79594.1068584838
2024-06-21,79594.1068584838
2024-06-22,79594.1068584838
2024-06-23,79594.1068584838
2024-06-24,79594.1068584838
