asset,entry_time,exit_time,direction,entry_zscore,hours_held,funding_pnl_pct,cost_pct,net_pnl_pct,exit_reason
DOGE-USDT-PERP,2023-12-26 16:00:00+00:00,2023-12-27 00:00:00+00:00,SHORT,1.335,8,0.01261,0.04,-0.02739,REVERT
DOGE-USDT-PERP,2023-12-27 16:00:00+00:00,2023-12-28 16:00:00+00:00,SHORT,1.853,24,0.19966,0.04,0.15966,TIMEOUT
DOGE-USDT-PERP,2023-12-28 16:00:00+00:00,2023-12-29 11:00:00+00:00,SHORT,1.913,19,0.07455,0.04,0.03455,REVERT
DOGE-USDT-PERP,2023-12-29 16:00:00+00:00,2023-12-30 00:00:00+00:00,SHORT,1.696,8,0.0256,0.04,-0.0144,REVERT
DOGE-USDT-PERP,2024-01-02 08:00:00+00:00,2024-01-03 00:00:00+00:00,SHORT,2.294,16,0.11155,0.04,0.07155,REVERT
DOGE-USDT-PERP,2024-02-13 08:00:00+00:00,2024-02-14 08:00:00+00:00,SHORT,12.806,24,0.04587,0.04,0.00587,REVERT
DOGE-USDT-PERP,2024-02-14 16:00:00+00:00,2024-02-15 16:00:00+00:00,SHORT,7.876,24,0.08976,0.04,0.04976,TIMEOUT
DOGE-USDT-PERP,2024-02-15 16:00:00+00:00,2024-02-16 16:00:00+00:00,SHORT,4.688,24,0.0699,0.04,0.0299,REVERT
DOGE-USDT-PERP,2024-02-17 08:00:00+00:00,2024-02-17 16:00:00+00:00,SHORT,1.657,8,0.01083,0.04,-0.02917,REVERT
DOGE-USDT-PERP,2024-02-18 08:00:00+00:00,2024-02-19 09:00:00+00:00,SHORT,1.961,24,0.05736,0.04,0.01736,TIMEOUT
DOGE-USDT-PERP,2024-02-19 09:00:00+00:00,2024-02-20 09:00:00+00:00,SHORT,5.26,24,0.08609,0.04,0.04609,TIMEOUT
DOGE-USDT-PERP,2024-02-20 09:00:00+00:00,2024-02-20 16:00:00+00:00,SHORT,3.766,7,0.0115,0.04,-0.0285,REVERT
DOGE-USDT-PERP,2024-02-24 08:00:00+00:00,2024-02-25 08:00:00+00:00,SHORT,1.795,24,0.07043,0.04,0.03043,TIMEOUT
DOGE-USDT-PERP,2024-02-25 16:00:00+00:00,2024-02-26 16:00:00+00:00,SHORT,1.328,24,0.09616,0.04,0.05616,TIMEOUT
DOGE-USDT-PERP,2024-02-26 16:00:00+00:00,2024-02-27 17:00:00+00:00,SHORT,2.46,24,0.16355,0.04,0.12355,TIMEOUT
DOGE-USDT-PERP,2024-02-27 17:00:00+00:00,2024-02-28 17:00:00+00:00,SHORT,4.57,24,0.14692,0.04,0.10692,TIMEOUT
DOGE-USDT-PERP,2024-02-28 17:00:00+00:00,2024-02-29 17:00:00+00:00,SHORT,3.955,24,0.33474,0.04,0.29474,TIMEOUT
DOGE-USDT-PERP,2024-02-29 17:00:00+00:00,2024-03-01 17:00:00+00:00,SHORT,5.067,24,0.18196,0.04,0.14196,TIMEOUT
DOGE-USDT-PERP,2024-03-01 17:00:00+00:00,2024-03-02 17:00:00+00:00,SHORT,1.657,24,0.31475,0.04,0.27474,TIMEOUT
DOGE-USDT-PERP,2024-03-02 17:00:00+00:00,2024-03-03 17:00:00+00:00,SHORT,3.162,24,0.29523,0.04,0.25523,TIMEOUT
DOGE-USDT-PERP,2024-03-03 17:00:00+00:00,2024-03-04 17:00:00+00:00,SHORT,1.274,24,0.47749,0.04,0.43749,TIMEOUT
DOGE-USDT-PERP,2024-03-04 17:00:00+00:00,2024-03-05 17:00:00+00:00,SHORT,1.977,24,0.41998,0.04,0.37998,TIMEOUT
DOGE-USDT-PERP,2024-03-05 17:00:00+00:00,2024-03-06 00:00:00+00:00,SHORT,2.169,7,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2024-03-10 00:00:00+00:00,2024-03-10 16:00:00+00:00,SHORT,1.265,16,0.11452,0.04,0.07452,REVERT
DOGE-USDT-PERP,2024-03-14 08:00:00+00:00,2024-03-15 00:00:00+00:00,SHORT,2.021,16,0.12812,0.04,0.08812,REVERT
DOGE-USDT-PERP,2024-04-01 00:00:00+00:00,2024-04-01 08:00:00+00:00,SHORT,1.362,8,0.02123,0.04,-0.01877,REVERT
DOGE-USDT-PERP,2024-05-21 16:00:00+00:00,2024-05-22 16:00:00+00:00,SHORT,1.644,24,0.03362,0.04,-0.00638,TIMEOUT
